cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,TRUE,54:41.7,22.652,0.203,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,TRUE,54:43.2,21.817,0.196,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,FALSE,54:43.9,20.127,0.196,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,FALSE,54:44.6,20.127,0.156,233.1
1.2,55,55,55,detecting_color,blue,FALSE,FALSE,FALSE,54:46.3,16.937,0.156,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,FALSE,54:47.0,16.158,0.151,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,FALSE,54:47.9,16.272,0.151,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,54:48.6,16.272,0.151,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,54:50.1,23.108,0.153,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,54:50.8,22.443,0.153,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,54:52.2,22.196,0.2,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,54:52.9,22.823,0.2,233.1
1.2,55,55,55,go_to_red_down,red,TRUE,FALSE,TRUE,54:53.7,22.557,0.204,233.1
1.2,55,55,55,go_to_red_down,red,TRUE,FALSE,TRUE,54:55.2,22.291,0.204,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,FALSE,54:56.0,22.31,0.199,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,FALSE,54:56.8,21.494,0.199,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,54:57.6,17.525,0.162,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,54:59.2,16.804,0.162,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,55:00.0,17.051,0.158,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,55:00.8,17.051,0.158,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,55:01.6,16.994,0.158,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,55:03.3,16.671,0.159,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,55:04.1,16.671,0.159,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,55:05.0,16.69,0.153,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,55:05.8,16.215,0.153,233.1
