meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/velocity
30:02.4,16.462,0.157,235,30
30:03.8,16.272,0.156,235,30
30:15.3,16.329,0.153,235,40
30:16.8,16.234,0.156,235,40
30:17.5,16.709,0.156,235,40
30:18.9,16.462,0.157,235,40
30:19.5,16.462,0.157,235,40
30:20.9,16.462,0.159,235,40
30:21.6,16.367,0.159,235,40
30:23.0,16.367,0.157,235,40
30:23.7,16.462,0.157,235,40
30:24.4,16.462,0.157,235,40
30:25.7,16.481,0.158,235,40
30:26.4,16.823,0.158,235,40
30:27.8,16.253,0.157,235,40
30:28.5,16.443,0.157,235,40
30:29.9,16.196,0.156,235,40
30:30.6,16.196,0.156,235,40
30:32.0,16.595,0.16,235,40
30:32.7,16.766,0.16,235,40
30:33.4,16.348,0.16,235,40
30:34.7,16.462,0.158,235,40
30:35.4,16.462,0.158,235,40
30:36.8,16.234,0.152,235,40
30:37.5,16.348,0.152,235,40
30:38.9,16.348,0.153,235,40
30:39.6,16.462,0.153,235,40
30:41.0,16.329,0.156,235,40
30:41.7,16.329,0.156,235,40
30:43.0,16.538,0.156,235,40
30:43.7,16.443,0.156,235,40
30:44.4,16.443,0.156,235,40
30:45.8,16.291,0.158,235,40
30:46.5,16.291,0.158,235,40
30:47.9,16.443,0.158,235,40
30:48.6,16.291,0.158,235,40
30:49.9,16.766,0.16,235,40
30:50.6,16.747,0.16,235,40
30:52.0,16.386,0.157,235,40
30:52.7,16.386,0.157,236.8,40
30:53.4,16.31,0.157,236.8,40
30:54.7,16.443,0.157,235,40
30:55.4,16.443,0.157,235,40
30:56.8,16.728,0.159,235,40
30:57.6,16.728,0.159,235,40
30:58.9,16.424,0.156,235,40
30:59.6,16.386,0.156,235,40
31:01.0,16.405,0.152,235,40
31:01.7,16.367,0.152,235,40
31:02.4,16.367,0.152,235,40
31:03.8,16.367,0.151,235,40
31:04.5,16.405,0.151,235,40
31:05.9,16.405,0.152,235,40
31:06.6,16.405,0.152,235,40
31:07.9,16.519,0.156,235,40
31:08.6,16.519,0.156,235,40
31:10.0,16.367,0.157,235,40
31:10.7,16.348,0.157,235,40
31:11.4,16.348,0.157,235,40
31:12.8,16.519,0.156,235,40
31:13.5,16.519,0.156,235,40
31:14.9,16.785,0.159,235,40
31:15.6,16.633,0.159,235,40
31:17.0,16.253,0.156,235,40
31:17.7,16.272,0.156,235,40
31:18.4,16.272,0.156,235,40
31:20.0,16.5,0.156,235,40
31:20.8,16.937,0.159,235,40
31:21.5,16.538,0.159,236.8,40
31:22.9,16.595,0.157,236.8,40
31:23.6,16.595,0.157,236.8,40
31:25.0,16.329,0.157,236.8,40
31:25.7,16.424,0.156,236.8,40
31:27.0,16.405,0.156,236.8,40
31:27.7,16.31,0.155,236.8,40
31:28.4,16.31,0.155,235,40
31:29.8,16.329,0.157,235,40
31:30.5,16.671,0.157,235,40
31:31.9,16.405,0.156,235,40
31:32.6,16.519,0.156,235,40
31:34.0,16.5,0.156,235,40
31:34.7,16.5,0.156,235,40
31:36.0,16.253,0.156,235,40
31:36.7,16.519,0.156,235,40
31:37.7,16.443,0.156,235,40
31:38.4,16.443,0.156,235,40
31:39.8,16.709,0.159,235,40
31:40.5,16.519,0.159,235,40
31:41.8,16.31,0.156,235,40
31:42.8,16.519,0.156,235,40
31:43.5,16.519,0.155,235,40
31:44.9,16.861,0.155,236.8,40
31:45.6,16.861,0.159,236.8,40
31:46.9,16.424,0.159,236.8,40
31:47.6,16.481,0.156,236.8,40
31:49.0,16.443,0.156,236.8,40
31:49.7,16.215,0.155,236.8,40
31:50.6,16.215,0.155,236.8,40
31:52.0,16.386,0.155,236.8,40
31:52.7,16.367,0.155,236.8,40
31:53.4,16.367,0.155,235,40
31:54.8,16.69,0.16,235,40
31:55.5,16.69,0.16,235,40
31:56.5,16.5,0.16,235,40
31:57.9,16.595,0.156,236.8,40
31:58.5,16.272,0.156,236.8,40
31:59.9,16.348,0.156,236.8,40
32:00.6,16.348,0.156,236.8,40
32:02.0,16.367,0.156,236.8,40
32:02.7,16.633,0.156,236.8,40
32:03.4,16.918,0.159,236.8,40
32:04.8,16.386,0.159,235,40
32:05.5,16.386,0.154,235,40
32:06.2,16.348,0.154,235,40
32:07.9,16.31,0.156,235,40
32:08.6,16.519,0.156,235,40
32:10.0,16.785,0.156,235,40
32:10.7,16.481,0.156,236.8,40
32:12.1,16.424,0.156,236.8,40
32:12.7,16.424,0.155,236.8,40
32:13.4,16.291,0.155,235,40
32:14.8,16.386,0.151,235,40
32:15.5,16.386,0.151,236.8,40
32:26.5,16.367,0.156,235,50
32:27.9,16.367,0.155,235,50
32:28.6,16.595,0.155,235,50
32:30.0,16.614,0.155,235,50
32:30.7,16.614,0.155,235,50
32:31.4,16.386,0.155,235,50
32:32.8,16.443,0.156,235,50
32:33.5,16.405,0.156,236.8,50
32:34.9,16.367,0.154,236.8,50
32:35.6,16.367,0.154,235,50
32:36.9,16.443,0.155,235,50
32:37.6,16.842,0.155,236.8,50
32:39.0,16.595,0.156,236.8,50
32:39.7,16.557,0.156,235,50
32:41.1,16.367,0.155,235,50
32:41.8,16.367,0.155,235,50
32:42.4,16.576,0.155,236.8,50
32:43.8,16.823,0.159,236.8,50
32:44.5,16.367,0.159,235,50
32:45.9,16.367,0.152,235,50
32:46.6,16.367,0.152,236.8,50
32:48.0,16.386,0.153,236.8,50
32:48.6,16.462,0.153,236.8,50
32:50.0,16.367,0.156,236.8,50
32:50.7,16.348,0.156,236.8,50
32:52.1,16.348,0.156,236.8,50
32:52.1,16.348,0.156,236.8,50
32:53.4,16.519,0.159,236.8,50
32:54.8,16.424,0.153,236.8,50
32:55.5,16.5,0.153,235,50
32:56.9,16.386,0.153,235,50
32:57.6,16.386,0.153,236.8,50
32:59.0,16.405,0.152,236.8,50
32:59.7,16.348,0.152,236.8,50
33:01.0,16.804,0.152,236.8,50
33:01.7,16.595,0.155,236.8,50
33:02.4,16.595,0.155,235,50
33:03.8,16.462,0.153,235,50
33:04.5,16.348,0.153,236.8,50
33:05.9,16.519,0.155,236.8,50
33:06.6,16.88,0.155,235,50
33:08.0,16.291,0.155,235,50
33:08.6,16.291,0.152,235,50
33:09.4,16.443,0.152,236.8,50
33:11.0,16.253,0.153,236.8,50
33:11.7,16.272,0.153,236.8,50
33:13.1,16.272,0.153,236.8,50
33:13.8,16.272,0.153,236.8,50
33:14.5,16.405,0.153,236.8,50
33:15.9,16.272,0.156,236.8,50
33:16.6,16.538,0.156,236.8,50
33:18.0,16.595,0.156,236.8,50
33:18.7,16.595,0.156,236.8,50
33:20.1,16.614,0.158,235,50
33:20.8,16.291,0.158,235,50
33:22.1,16.348,0.156,235,50
33:22.8,16.386,0.156,235,50
33:23.5,16.386,0.16,235,50
33:24.9,16.88,0.16,235,50
33:25.6,16.614,0.16,235,50
33:27.0,16.291,0.155,235,50
33:27.7,16.386,0.155,235,50
33:29.1,16.519,0.156,235,50
33:29.7,16.519,0.156,235,50
33:31.1,17.013,0.16,235,50
33:31.8,16.424,0.16,235,50
33:32.5,16.367,0.156,235,50
33:33.9,16.481,0.156,236.8,50
33:34.6,16.481,0.156,236.8,50
33:36.0,16.5,0.157,235,50
33:36.7,16.386,0.157,235,50
33:38.1,16.348,0.155,235,50
33:38.8,16.481,0.155,235,50
33:39.5,16.481,0.158,235,50
33:40.9,16.614,0.158,235,50
33:41.6,16.462,0.158,235,50
33:42.9,16.519,0.158,236.8,50
33:43.6,16.405,0.158,236.8,50
33:45.0,16.633,0.156,236.8,50
33:45.7,16.633,0.156,236.8,50
33:47.1,16.329,0.156,236.8,50
33:47.8,16.899,0.156,236.8,50
33:49.2,16.842,0.16,236.8,50
33:49.8,16.405,0.16,236.8,50
33:50.5,16.405,0.156,236.8,50
33:51.9,16.462,0.156,235,50
33:52.6,16.519,0.158,235,50
33:54.0,16.861,0.158,236.8,50
33:54.7,16.405,0.158,236.8,50
33:56.1,16.576,0.156,235,50
33:56.7,16.576,0.156,235,50
33:58.1,16.443,0.157,236.8,50
33:58.8,16.519,0.157,236.8,50
33:59.5,16.253,0.155,236.8,50
34:00.9,16.272,0.155,236.8,50
34:01.6,16.272,0.156,236.8,50
34:03.0,16.272,0.156,236.8,50
34:03.7,16.747,0.157,236.8,50
34:05.0,16.443,0.157,235,50
34:05.7,16.5,0.157,235,50
34:07.1,16.386,0.157,235,50
34:07.8,16.386,0.157,235,50
34:08.5,16.462,0.156,235,50
34:09.9,16.386,0.156,236.8,50
34:10.6,16.728,0.158,236.8,50
34:12.0,16.709,0.158,235,50
34:12.7,16.709,0.156,235,50
34:14.1,16.291,0.156,236.8,50
34:14.7,16.348,0.156,236.8,50
34:15.4,16.291,0.156,236.8,50
34:17.1,16.956,0.157,236.8,50
34:17.8,16.956,0.157,236.8,50
34:18.5,16.557,0.157,235,50
34:19.9,16.481,0.153,235,50
34:20.9,16.272,0.153,235,50
34:21.6,16.272,0.153,235,50
34:23.0,16.481,0.157,235,50
34:23.0,16.481,0.157,235,50
34:34.7,16.234,0.153,235,60
34:36.1,16.424,0.153,235,60
34:36.8,16.424,0.153,235,60
34:38.2,16.462,0.157,235,60
34:38.9,16.462,0.157,235,60
34:39.6,16.69,0.159,235,60
34:40.9,16.405,0.159,235,60
34:41.6,16.405,0.156,235,60
34:43.0,16.348,0.156,235,60
34:43.7,16.272,0.156,235,60
34:45.1,16.728,0.156,236.8,60
34:45.8,16.766,0.157,236.8,60
34:47.1,16.462,0.157,235,60
34:48.1,16.462,0.157,235,60
34:48.8,16.424,0.153,235,60
34:50.2,16.348,0.157,235,60
34:50.9,16.804,0.157,235,60
34:51.6,16.804,0.157,235,60
34:53.0,16.424,0.157,235,60
34:53.7,16.424,0.157,235,60
34:55.1,16.234,0.156,235,60
34:55.8,16.5,0.156,235,60
34:57.2,16.405,0.155,235,60
34:57.9,16.367,0.155,235,60
34:58.6,16.367,0.155,235,60
