meross/sample_timestamp,meross/power,meross/current,meross/voltage
49:50.9,16.215,0.154,236.8
49:51.9,16.215,0.154,236.8
49:52.6,16.253,0.154,235
49:54.0,16.386,0.154,235
49:55.4,16.253,0.153,236.8
49:56.2,16.348,0.154,236.8
49:56.2,16.348,0.154,236.8
49:58.5,16.405,0.154,236.8
49:59.3,16.329,0.154,236.8
50:00.0,16.329,0.154,236.8
50:01.5,16.234,0.153,236.8
50:02.4,16.386,0.153,236.8
50:03.3,16.234,0.153,236.8
50:03.3,16.234,0.153,236.8
50:05.1,16.234,0.153,236.8
50:05.1,16.234,0.153,236.8
50:06.8,16.234,0.153,236.8
50:08.4,16.31,0.153,236.8
50:08.4,16.31,0.153,236.8
50:10.3,16.215,0.155,236.8
50:11.1,16.215,0.155,236.8
50:12.3,16.5,0.155,236.8
50:13.1,16.139,0.155,236.8
50:13.8,16.139,0.155,236.8
50:15.3,16.31,0.153,236.8
50:16.2,16.291,0.153,236.8
50:17.0,16.291,0.153,236.8
50:17.0,16.291,0.153,236.8
50:18.6,16.291,0.153,236.8
50:19.6,16.31,0.153,236.8
50:20.8,16.31,0.153,236.8
50:22.4,16.196,0.153,236.8
50:23.2,16.31,0.153,236.8
50:24.0,16.31,0.153,236.8
50:24.9,16.272,0.153,236.8
50:26.5,16.291,0.153,236.8
50:26.5,16.291,0.153,236.8
50:28.0,16.139,0.153,236.8
50:28.8,16.386,0.153,236.8
50:30.2,16.348,0.153,236.8
50:30.2,16.348,0.153,236.8
50:32.5,16.272,0.153,236.8
50:33.2,16.044,0.153,236.8
50:33.2,16.044,0.153,236.8
50:35.0,16.367,0.153,236.8
50:36.4,16.31,0.154,236.8
50:37.4,16.291,0.152,236.8
50:38.1,16.044,0.152,236.8
50:38.8,16.044,0.154,236.8
50:40.6,16.329,0.154,236.8
50:41.3,16.329,0.153,236.8
50:41.9,16.367,0.153,236.8
50:43.0,16.31,0.153,236.8
50:44.4,16.424,0.154,235
50:45.2,16.424,0.154,235
50:46.6,16.31,0.153,236.8
50:47.2,16.31,0.153,236.8
50:48.0,16.462,0.154,236.8
50:48.7,16.462,0.154,236.8
50:49.7,16.405,0.154,236.8
50:51.5,16.424,0.154,236.8
50:52.4,16.424,0.154,236.8
50:53.5,16.405,0.154,236.8
50:53.5,16.405,0.154,236.8
50:55.4,16.196,0.153,236.8
50:56.2,16.348,0.153,236.8
50:56.9,16.253,0.153,236.8
50:58.4,16.348,0.153,236.8
50:59.4,16.367,0.153,236.8
51:00.0,16.367,0.153,236.8
51:00.7,16.253,0.153,236.8
51:02.3,16.158,0.153,236.8
