dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,cube_weight_g
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,29:41.6,15.76,0.15,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,29:43.0,15.968,0.15,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,29:43.7,15.892,0.151,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,29:45.1,17.165,0.151,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,29:45.8,17.165,0.16,235,1.3
go_to_pick_down,red,TRUE,FALSE,go_to_pick_down,FALSE,29:46.7,17.032,0.16,235,1.3
go_to_pick_down,red,TRUE,FALSE,go_to_pick_down,FALSE,29:48.1,17.089,0.157,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,TRUE,29:48.8,16.557,0.157,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,29:50.2,23.241,0.203,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,29:50.9,21.95,0.203,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,29:51.7,22.538,0.203,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,TRUE,29:53.1,22.026,0.203,236.8,1.3
