cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,TRUE,36:27.4,16.918,0.157,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,TRUE,36:28.8,20.545,0.211,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,TRUE,36:29.5,22.899,0.211,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,TRUE,36:30.8,22.728,0.207,238.7
1.2,50,50,50,go_to_blue_up,blue,TRUE,FALSE,joint 1 +,TRUE,36:31.5,22.481,0.207,238.7
1.2,50,50,50,go_to_blue_up,blue,TRUE,FALSE,joint 1 +,TRUE,36:32.9,22.177,0.203,238.7
1.2,50,50,50,go_to_pick_up_from_blue,blue,TRUE,FALSE,joint 1 -,FALSE,36:33.6,22.177,0.203,238.7
1.2,50,50,50,go_to_pick_up_from_blue,blue,TRUE,FALSE,joint 1 -,FALSE,36:35.0,17.696,0.157,238.7
1.2,50,50,50,go_to_pick_up_from_blue,blue,TRUE,FALSE,joint 1 -,FALSE,36:35.7,16.69,0.157,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,36:37.1,16.652,0.156,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,36:37.8,16.956,0.156,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,36:38.5,16.956,0.156,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,36:39.7,16.994,0.156,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,36:41.0,16.785,0.159,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,36:41.7,16.823,0.16,238.7
1.2,50,50,50,go_to_pick_down,blue,TRUE,FALSE,joint 3 +,FALSE,36:43.1,16.899,0.16,238.7
1.2,50,50,50,go_to_pick_down,blue,TRUE,FALSE,joint 3 +,FALSE,36:43.8,16.671,0.157,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,blue,TRUE,FALSE,joint 3 -,TRUE,36:44.5,16.671,0.157,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,blue,TRUE,FALSE,joint 3 -,TRUE,36:45.9,22.899,0.207,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 1 +,TRUE,36:46.6,22.614,0.207,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 1 +,TRUE,36:47.3,22.614,0.207,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 1 +,TRUE,36:48.5,22.121,0.202,238.7
