meross/sample_timestamp,meross/power,meross/current,meross/voltage
19:05.2,3.038,0.044,235
19:06.1,3.038,0.044,235
19:06.9,2.924,0.044,235
19:07.7,2.924,0.045,235
19:09.3,2.924,0.047,235
19:10.1,2.924,0.047,235
19:10.9,2.924,0.047,235
19:12.5,2.924,0.047,235
19:13.3,2.924,0.051,235
19:14.1,2.981,0.051,235
19:14.9,2.981,0.051,235
19:15.7,2.981,0.045,235
19:17.4,2.981,0.045,235
19:18.3,2.981,0.046,235
19:19.1,2.981,0.046,235
19:19.9,2.981,0.051,235
19:20.7,2.981,0.051,235
19:22.4,2.981,0.044,235
19:23.2,2.981,0.044,235
19:24.0,2.981,0.044,235
19:24.9,2.981,0.045,235
19:26.4,2.981,0.039,235
19:27.3,2.962,0.039,235
19:28.0,2.962,0.039,235
19:28.9,2.962,0.046,235
19:29.7,2.962,0.046,235
19:31.4,2.962,0.05,235
19:32.3,2.962,0.05,235
19:33.1,2.962,0.042,235
19:33.9,2.981,0.042,235
19:34.7,2.981,0.042,235
19:36.5,2.981,0.046,235
19:37.3,2.981,0.045,235
19:38.1,2.981,0.045,235
19:38.9,2.981,0.045,235
19:39.8,2.981,0.047,235
19:41.4,2.924,0.05,235
19:42.2,2.924,0.05,235
19:43.0,2.924,0.05,235
19:44.5,2.924,0.044,235
19:45.3,2.924,0.044,235
19:46.1,2.924,0.042,235
19:46.9,2.924,0.042,235
19:47.7,2.962,0.042,235
19:49.4,2.962,0.044,235
19:50.2,2.962,0.046,235
19:50.9,2.962,0.046,235
19:51.7,2.962,0.046,235
19:53.5,2.962,0.052,235
19:54.3,2.962,0.052,235
19:55.1,2.962,0.041,235
19:55.9,2.962,0.041,235
19:56.8,2.962,0.041,235
19:58.3,2.962,0.043,235
19:59.1,2.962,0.043,235
19:59.9,2.962,0.044,235
20:00.8,2.962,0.044,235
20:02.4,3.057,0.043,235
20:03.2,3.057,0.043,235
20:04.1,3.057,0.048,235
20:04.8,3.057,0.048,235
20:06.5,3.057,0.044,235
20:07.3,3.057,0.044,235
20:08.1,3.019,0.047,235
20:08.9,3.019,0.047,235
20:10.5,3.019,0.045,235
20:11.3,3.019,0.045,235
20:12.1,3.019,0.045,235
20:12.9,3.019,0.044,235
20:13.8,3.019,0.044,235
20:15.4,3.019,0.043,235
20:16.2,3.019,0.043,235
20:17.0,3.019,0.047,235
20:17.9,3.019,0.047,235
20:18.8,3.019,0.047,235
20:20.5,3.019,0.048,235
20:21.3,3,0.046,235
20:22.1,3,0.046,235
20:22.8,3,0.046,235
20:23.6,3,0.044,235
20:24.9,3,0.044,235
20:26.5,3,0.048,235
20:27.3,3,0.048,235
20:28.1,2.943,0.045,235
20:28.8,2.943,0.045,235
20:30.4,2.943,0.05,235
20:31.3,2.943,0.05,235
20:32.1,2.943,0.046,235
20:32.9,2.943,0.046,235
20:33.7,2.943,0.046,235
20:35.4,2.962,0.045,235
20:36.2,2.962,0.045,235
20:37.0,2.962,0.045,235
20:37.8,2.962,0.045,235
20:39.5,2.962,0.044,235
20:40.3,2.962,0.044,235
20:41.1,2.962,0.046,235
20:42.0,3,0.046,235
20:42.8,3,0.047,235
20:44.4,3,0.047,235
20:45.2,3,0.044,235
20:46.0,3,0.044,235
20:46.8,3,0.044,235
20:48.6,3.038,0.045,235
20:49.5,3.038,0.046,235
20:50.3,3.038,0.046,235
20:51.1,3.038,0.046,235
20:52.0,3.038,0.047,235
20:53.5,3.038,0.049,235
20:54.3,3.038,0.049,235
20:55.2,3,0.049,235
20:55.9,3,0.043,235
20:57.6,3,0.043,235
20:58.3,3,0.044,235
20:59.1,3,0.044,235
21:00.1,3,0.048,235
21:00.9,3,0.048,235
21:02.4,2.905,0.042,235
21:03.2,2.905,0.042,235
21:04.0,2.905,0.042,235
21:04.9,2.905,0.046,235
21:06.5,2.905,0.046,235
21:07.3,2.905,0.044,235
21:08.3,2.905,0.044,235
21:09.5,3.038,0.044,235
21:10.4,3.038,0.044,235
21:11.2,3.038,0.046,235
21:12.0,3.038,0.046,235
21:12.8,3.038,0.046,235
21:14.6,3.038,0.045,235
21:15.4,3,0.044,235
21:16.2,3,0.044,235
21:17.0,3,0.044,235
21:17.9,3,0.042,235
21:19.5,3,0.042,235
21:20.3,3,0.045,235
21:21.1,3,0.045,235
21:22.0,3,0.045,235
21:22.8,3.038,0.043,235
21:24.4,3.038,0.048,235
21:25.2,3.038,0.048,235
21:26.1,3.038,0.048,235
21:26.9,3.038,0.046,235
21:28.4,3.038,0.045,235
21:28.4,3.038,0.045,235
21:30.4,2.962,0.045,235
21:31.2,2.962,0.043,235
21:32.0,2.962,0.043,235
21:32.8,2.962,0.048,235
21:34.5,2.962,0.048,236.8
21:35.3,2.962,0.04,236.8
21:36.1,3.019,0.04,236.8
21:36.9,3.019,0.04,236.8
21:38.5,3.019,0.043,236.8
21:39.3,3.019,0.047,236.8
21:40.3,3.019,0.047,236.8
21:41.0,3.019,0.047,236.8
21:41.8,3.019,0.042,236.8
21:43.5,2.981,0.042,236.8
21:44.3,2.981,0.047,236.8
21:45.1,2.981,0.047,236.8
21:45.9,2.981,0.046,236.8
21:47.5,2.981,0.046,236.8
21:48.4,2.981,0.046,236.8
21:49.1,3.019,0.046,236.8
21:49.9,3.019,0.046,236.8
21:51.6,3.019,0.044,236.8
21:52.4,3.019,0.044,236.8
21:53.1,3.019,0.046,236.8
21:54.0,3.019,0.046,236.8
21:54.8,3.019,0.044,236.8
21:56.5,3,0.044,236.8
21:57.3,3,0.042,236.8
21:58.1,3,0.042,236.8
21:58.8,3,0.042,236.8
22:00.5,3,0.043,236.8
22:01.3,3,0.05,236.8
22:02.1,3,0.05,236.8
22:02.9,2.943,0.05,236.8
22:04.1,2.943,0.045,236.8
22:05.0,2.943,0.045,236.8
22:06.5,2.943,0.048,236.8
22:07.3,2.943,0.048,236.8
22:08.1,2.943,0.045,236.8
22:09.6,2.924,0.045,236.8
22:10.4,2.924,0.045,236.8
22:11.2,2.924,0.045,236.8
22:12.0,2.924,0.045,236.8
22:12.9,2.924,0.041,236.8
22:14.5,2.924,0.043,236.8
22:15.2,2.924,0.043,236.8
22:16.1,2.924,0.043,236.8
22:16.9,2.905,0.046,236.8
22:18.5,2.905,0.046,236.8
22:19.3,2.905,0.049,236.8
22:20.1,2.905,0.049,236.8
22:20.9,2.905,0.049,236.8
22:22.5,2.905,0.044,236.8
22:23.3,3.019,0.044,236.8
22:24.1,3.019,0.044,236.8
22:24.9,3.019,0.044,236.8
